hyb,x,y,z,int
0,31.99969116,1081,0,17634.92844
0,115.7536896,544.1129302,0,8089.031985
0,87.78278604,1612.176181,0,3768.478697
0,272.0710223,1516.792724,0,3625.500395
0,422.2866708,863.4416702,0,3874.274898
0,586.2632828,1882.934979,0,3622.942276
0,681.3701168,490.5278402,0,4027.108227
0,730.8433009,428.9900992,0,5998.078529
0,754.8972597,824.8741927,0,3173.601331
0,792.2158989,477.2718334,0,7121.897171
0,823.3100532,1020.491483,0,10582.87074
0,783.8288379,978.018386,0,5493.872205
0,881.2597056,1078.889268,0,3209.885334
0,862.8403467,1168.605555,0,3275.244995
0,838.612233,1185.687154,0,3416.842242
0,957.8019171,4.793154107,0,7617.469631
0,945.36088,633.4092742,0,15218.47669
0,949.0985515,845.6351211,0,9038.30808
0,943.6380297,977.457987,0,8781.303008
0,914.2575039,1062.494935,0,3814.140008
0,945.3254173,1718.00276,0,9306.967676
0,986.2565971,335.3171502,0,5726.365269
0,969.7794555,879.0570508,0,3342.770586
0,1022.843337,1000.07482,0,3023.006589
0,1029.389288,1032.107414,0,3082.468422
0,982.525236,1841.655562,0,6811.422784
0,978.0896759,1949.692045,0,6782.160518
0,1085.356735,359.4536657,0,4889.102824
0,1050.411043,679.52376,0,13647.6949
0,1072.527481,1158.481796,0,3678.994917
0,1059.635186,1392.186946,0,3182.342115
0,1071.908877,1749.779579,0,26456.73419
0,1055.057142,2016.802233,0,9905.829034
0,1100.160921,73.98860791,0,8388.711107
0,1148.402616,983.1589474,0,9620.588464
0,1105.750496,1009.533584,0,4140.967387
0,1142.99403,1122.696234,0,3960.842358
0,1109.394639,1150.604866,0,3812.881245
0,1152.021437,1367.630734,0,3807.523183
0,1111.500329,1527.663431,0,3137.723894
0,1104.532249,1679.933007,0,7784.709023
0,1106.476282,2019.646864,0,3208.2972
0,1184.576526,990.2919127,0,4862.47402
0,1202.037933,1054.83103,0,3519.990302
0,1216.73173,1143.304325,0,4133.4501
0,1193.589501,1197.190181,0,3299.519194
0,1183.066154,1181.90772,0,4285.54116
0,1189.009437,1341.974775,0,3349.026497
0,1211.608094,1843.734485,0,7739.466202
0,1215.125367,1913.766352,0,7371.402249
0,1199.54074,1891.782677,0,5384.887975
0,1252.243995,621.5647898,0,3273.002748
0,1266.528392,955.6553443,0,3150.155835
0,1265.739321,1213.924255,0,4952.928558
0,1227.753218,1164.21621,0,3333.204539
0,1273.431457,1157.378006,0,3625.449205
0,1243.181958,1887.837535,0,8126.307781
0,1259.693783,1944.897678,0,6259.539718
0,1279.020554,2012.828882,0,7513.773109
0,1340.92795,591.7482873,0,3174.462943
0,1312.545026,796.4689866,0,3192.360953
0,1329.644053,869.9594606,0,20562.14044
0,1316.317914,853.5974405,0,16192.6925
0,1294.215738,906.3402768,0,14737.90971
0,1320.170397,1455.621584,0,3138.162106
0,1354.055048,479.3203135,0,7353.227017
0,1377.226179,473.32937,0,4196.161722
0,1360.107714,512.6661719,0,3072.739906
0,1381.871426,568.9107474,0,16375.21386
0,1375.050895,656.6475616,0,6121.525091
0,1358.052413,685.5238011,0,3087.623613
0,1406.670894,761.2617855,0,3903.226951
0,1362.14512,783.3122643,0,3767.639791
0,1387.58093,1250.252693,0,4299.578308
0,1353.063072,1473.434738,0,3107.05611
0,1345.470431,1428.837375,0,3271.381351
0,1438.902553,74.20842224,0,5244.335436
0,1420.076254,815.3523214,0,3984.235543
0,1460.271432,974.3496224,0,41254.13313
0,1420.708172,992.6800759,0,7635.216364
0,1419.167866,1022.110825,0,3548.763085
0,1456.219847,1252.766207,0,3807.588007
0,1456.979997,1340.929699,0,3584.035073
0,1507.985591,449.10963,0,3035.582574
0,1522.054675,599.4954657,0,7402.882436
0,1486.859268,596.1614049,0,3690.362086
0,1503.991698,911.5617932,0,18720.46939
0,1526.721571,989.3019864,0,20621.29162
0,1515.039626,1083.654063,0,3377.386464
0,1536.146576,1250.154185,0,3108.481461
0,1491.667274,1327.241374,0,3164.009294
0,1484.058085,1299.366169,0,3426.267193
0,1486.662093,1829.139386,0,7680.378968
